datetime,Weather Station;wind_speed;Avg (m/s),Weather Station;wind_speed;Max (m/s),Weather Station;wind_speed;Min (m/s),Weather Station;wind_speed;StdDev (m/s),Weather Station;wind_speed;Count (),Weather Station;wind_direction;Avg (°),Weather Station;wind_direction;StdDev (°),Weather Station;wind_direction;Count (),Weather Station;humidity;Avg (%),Weather Station;humidity;Max (%),Weather Station;humidity;Min (%),Weather Station;humidity;StdDev (%),Weather Station;humidity;Count (),Weather Station;temperature;Avg (°C),Weather Station;temperature;Max (°C),Weather Station;temperature;Min (°C),Weather Station;temperature;StdDev (°C),Weather Station;temperature;Count (),Weather Station;air_pressure;Avg (hPa),Weather Station;air_pressure;Max (hPa),Weather Station;air_pressure;Min (hPa),Weather Station;air_pressure;StdDev (hPa),Weather Station;air_pressure;Count (),Solar Sensor;solar_irradiance;Avg (W/m²),Solar Sensor;solar_irradiance;Max (W/m²),Solar Sensor;solar_irradiance;Min (W/m²),Solar Sensor;solar_irradiance;StdDev (W/m²),Solar Sensor;solar_irradiance;Count (),Monitoring Current Clima US TFB;voltage;Avg (A),Monitoring Current Clima US TFB;voltage;Max (A),Monitoring Current Clima US TFB;voltage;Min (A),Monitoring Current Clima US TFB;voltage;StdDev (A),Monitoring Current Clima US TFB;voltage;Count (),Monitoring Current Modem;voltage;Avg (A),Monitoring Current Modem;voltage;Max (A),Monitoring Current Modem;voltage;Min (A),Monitoring Current Modem;voltage;StdDev (A),Monitoring Current Modem;voltage;Count (),Monitoring Voltage Solarmodule;voltage;Avg (V),Monitoring Voltage Solarmodule;voltage;Max (V),Monitoring Voltage Solarmodule;voltage;Min (V),Monitoring Voltage Solarmodule;voltage;StdDev (V),Monitoring Voltage Solarmodule;voltage;Count (),Door switch;status;Count (),Door switch;status;Sum (),Weather Station;brightness_direction;Avg (°),Weather Station;brightness_direction;Max (°),Weather Station;brightness_direction;Min (°),Weather Station;brightness_direction;StdDev (°),Weather Station;brightness_direction;Count (),Weather Station;brightness_max;Avg (lux),Weather Station;brightness_max;Max (lux),Weather Station;brightness_max;Min (lux),Weather Station;brightness_max;StdDev (lux),Weather Station;brightness_max;Count (),Weather Station;precipitation_intensity;Avg (mm/h),Weather Station;precipitation_intensity;Max (mm/h),Weather Station;precipitation_intensity;Min (mm/h),Weather Station;precipitation_intensity;StdDev (mm/h),Weather Station;precipitation_intensity;Count (),Weather Station;precipitation_intensity;Sum (mm/h),Weather Station;precipitation_status;Avg (),Weather Station;precipitation_status;Max (),Weather Station;precipitation_status;Min (),Weather Station;precipitation_status;StdDev (),Weather Station;precipitation_status;Count (),Weather Station;precipitation_sum;Avg (mm/d),Weather Station;precipitation_sum;Max (mm/d),Weather Station;precipitation_sum;Min (mm/d),Weather Station;precipitation_sum;StdDev (mm/d),Weather Station;precipitation_sum;Count (),Weather Station;synop;Max (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A1;channel;Count (),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A2;channel;Count (),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A3;channel;Count (),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A4;channel;Count (),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),D1;channel;Count (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2021-11-01 00:00:00,4.003,7.1,1.1,1.1178,600,282.4213,11.0879,600,68,68,68,0,600,11.1602,11.3,11,0.0536,600,984.6592,984.8,984.6,0.0647,600,15.0417,45.8426,0,17.2891,600,0.0262,0.0303,0.0231,0.0021,600,0.0026,0.0304,0.0001,0.003,600,26.3676,26.4046,26.3298,0.0285,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0013,0.0152,0,0.0015,600,0.0131,0.0152,0.0115,0.001,600,3.7668,3.7721,3.7614,0.0041,600,0,0.0003,-0.0004,0.0002,600,1,1,1,0,600,14.4,23.9883,68,5,26,26.12,25.92
2021-11-01 00:10:00,3.5715,5.6,1.2,0.8466,600,280.0283,11.9809,600,68.8717,69,68,0.3347,600,10.9398,11.1,10.8,0.0724,600,984.5348,984.6,984.4,0.0609,600,13.3556,46.2804,0,16.903,600,0.0258,0.0286,0.0241,0.001,600,0.0006,0.0134,0.0001,0.0019,600,26.3636,26.3833,26.3192,0.0179,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0003,0.0067,0,0.0009,600,0.0129,0.0143,0.012,0.0005,600,3.7662,3.769,3.7599,0.0026,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,14.9,11.2067,33,5,26.01,26.07,25.92
2021-11-01 00:20:00,3.8975,6.1,1.8,0.8455,600,279.1574,11.6011,600,69.7317,70,69,0.4435,600,10.7918,10.9,10.7,0.0398,600,984.3505,984.5,984.2,0.056,600,13.5383,45.8426,0,17.0284,600,0.0271,0.0304,0.0236,0.0016,600,0.0001,0.0001,0.0001,0,600,26.3839,26.3875,26.3811,0.0013,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0136,0.0152,0.0118,0.0008,600,3.7691,3.7696,3.7687,0.0002,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,14,8.7567,13,5,26.02,26.12,26.02
2021-11-01 00:30:00,3.544,6.4,1.5,0.9621,600,281.6289,13.1361,600,70,70,70,0,600,10.7368,10.9,10.6,0.073,600,984.2853,984.4,984.2,0.0368,600,12.9729,45.8426,0,16.6918,600,0.0257,0.029,0.0231,0.0014,600,0.0001,0.0001,0.0001,0,600,26.3824,26.3854,26.379,0.0017,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0128,0.0145,0.0115,0.0007,600,3.7689,3.7693,3.7684,0.0002,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,13.1,8.74,13,5,26.02,26.07,26.02
2021-11-01 00:40:00,3.3292,6.2,1.5,0.8098,600,283.9805,12.4544,600,70.4817,71,70,0.5001,600,10.6028,10.7,10.5,0.0296,600,984.242,984.3,984.2,0.0494,600,13.6686,45.4063,0,16.9094,600,0.0268,0.0303,0.0241,0.0017,600,0.0001,0.0001,0.0001,0,600,26.3769,26.3811,26.3726,0.0017,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0134,0.0151,0.012,0.0008,600,3.7681,3.7687,3.7675,0.0002,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,13,8.7567,11,5,26.02,26.07,25.97
2021-11-01 00:50:00,3.4927,5.9,1.4,0.9697,600,282.1024,13.3203,600,71,71,71,0,600,10.5653,10.7,10.5,0.048,600,984.2183,984.3,984.1,0.0416,600,13.0522,45.4063,0,16.5304,600,0.0252,0.0284,0.0231,0.0013,600,0.0001,0.0001,0.0001,0,600,26.3714,26.3768,26.3662,0.0019,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0126,0.0142,0.0115,0.0006,600,3.7673,3.7681,3.7666,0.0003,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,13,8.73,11,5,26.02,26.07,25.97
2021-11-01 01:00:00,3.6593,7,0.8,1.0355,600,279.7623,14.4059,600,71,71,71,0,600,10.5418,10.7,10.5,0.0514,600,984.1372,984.2,984,0.0651,600,13.2764,44.5336,0,16.7538,600,0.0264,0.0309,0.0242,0.0016,600,0.0026,0.033,0.0001,0.0031,600,26.3324,26.3704,26.2957,0.0284,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0013,0.0165,0,0.0015,600,0.0132,0.0154,0.0121,0.0008,600,3.7618,3.7672,3.7565,0.0041,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,13.7,24.035,68,5,25.96,26.07,25.87
2021-11-01 01:10:00,3.519,6.1,1.3,0.9147,600,285.0369,13.093,600,71,71,71,0,600,10.5875,10.7,10.5,0.0365,600,983.9712,984.1,983.8,0.0568,600,12.9831,44.5336,0,16.0401,600,0.0258,0.0306,0.0231,0.0019,600,0.0005,0.0106,0.0001,0.0017,600,26.3289,26.3448,26.285,0.0166,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0003,0.0053,0,0.0008,600,0.0129,0.0153,0.0115,0.0009,600,3.7613,3.7635,3.755,0.0024,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,14.4,10.83,33,5,25.97,26.02,25.92
2021-11-01 01:20:00,3.6018,6.3,1.2,0.8121,600,278.1927,10.2479,600,71.1083,72,71,0.3111,600,10.5175,10.6,10.4,0.0452,600,983.8595,983.9,983.8,0.0491,600,13.4677,44.5336,0,16.5981,600,0.0261,0.0286,0.024,0.001,600,0.0001,0.0001,0.0001,0,600,26.346,26.3491,26.3427,0.0011,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.013,0.0143,0.012,0.0005,600,3.7637,3.7642,3.7632,0.0002,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,13.1,8.7567,13,7,25.99,26.07,25.97
2021-11-01 01:30:00,3.3407,5.3,1.4,0.7568,600,279.0593,11.7498,600,71.9583,72,71,0.2,600,10.4002,10.5,10.3,0.0637,600,983.8827,983.9,983.8,0.0379,600,14.584,44.5336,0,16.8283,600,0.0266,0.0305,0.0231,0.002,600,0.0001,0.0001,0.0001,0,600,26.3433,26.3469,26.3384,0.0018,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0133,0.0152,0.0116,0.001,600,3.7633,3.7638,3.7626,0.0003,600,0,0.0003,-0.0003,0.0002,600,1,1,1,0,600,13,8.7333,11,5,25.98,26.07,25.97
