Time,wind_m7,wind_m14,wind_m31,wind_m54
2025-04-02 17:00:00,0.865,0.9783333333333334,0.41500000000000004,0.03666666666666667
2025-04-02 18:00:00,0.43666666666666665,0.7466666666666666,1.425,0.16999999999999998
2025-04-02 19:00:00,0.445,0.66,1.8216666666666665,0.225
2025-04-02 20:00:00,0.35833333333333334,1.3150000000000002,1.1783333333333335,0.5383333333333333
2025-04-02 21:00:00,0.6083333333333333,1.8333333333333333,0.6116666666666667,0.635
2025-04-02 22:00:00,0.5733333333333334,1.895,0.25833333333333336,0.4083333333333333
2025-04-02 23:00:00,0.36500000000000005,1.01,0.060000000000000005,0.095
2025-04-03 00:00:00,0.21333333333333335,0.7183333333333334,0.14333333333333334,0.04000000000000001
2025-04-03 01:00:00,0.15333333333333335,1.3516666666666666,0.3466666666666667,0.15166666666666667
2025-04-03 02:00:00,0.020000000000000004,1.175,0.7033333333333334,0.5766666666666667
2025-04-03 03:00:00,0.325,1.415,0.5816666666666667,0.565
2025-04-03 04:00:00,0.6950000000000001,1.78,0.85,0.9416666666666667
2025-04-03 05:00:00,0.7899999999999999,2.0266666666666664,2.3033333333333332,1.7733333333333334
2025-04-03 06:00:00,1.2583333333333333,2.0016666666666665,2.506666666666667,1.4516666666666667
2025-04-03 07:00:00,1.2116666666666667,2.575,2.0033333333333334,1.6833333333333333
2025-04-03 08:00:00,0.9483333333333334,2.506666666666667,2.415,1.54
2025-04-03 09:00:00,0.6966666666666668,2.185,2.175,1.5133333333333332
2025-04-03 10:00:00,0.985,1.87,2.2800000000000002,1.38
2025-04-03 11:00:00,0.38999999999999996,1.4733333333333334,1.755,1.0683333333333331
2025-04-03 12:00:00,0.023333333333333334,0.5516666666666666,0.9683333333333334,0.2833333333333333
2025-04-03 13:00:00,0.0,0.005,0.67,0.0
2025-04-03 14:00:00,0.0,0.0,0.36666666666666664,0.0
2025-04-03 15:00:00,0.21666666666666667,0.0,0.14833333333333334,0.0
2025-04-03 16:00:00,0.3266666666666667,0.0,0.0,0.0
2025-04-03 17:00:00,0.8333333333333334,0.0,0.4083333333333333,0.060000000000000005
2025-04-03 18:00:00,0.39166666666666666,0.0,0.5700000000000001,0.165
2025-04-03 19:00:00,0.165,0.0,0.07833333333333334,0.0
2025-04-03 20:00:00,0.24333333333333332,0.0,0.6066666666666667,0.185
2025-04-03 21:00:00,0.11333333333333333,0.0,0.26,0.0
2025-04-03 22:00:00,0.48666666666666664,0.0,0.29000000000000004,0.16666666666666666
2025-04-03 23:00:00,0.48000000000000004,0.0,0.020000000000000004,0.0
