Time,Wind M14,Wind M28,Wind M44,Wind M59,Wind M80,Wind M91
2025-04-02 17:00:00,2.1454999999999997,0.0,0.5810166666666667,0.0,5.867999999999999,0.0
2025-04-02 18:00:00,3.2455,0.0,1.5701666666666665,0.0,8.751666666666667,0.0
2025-04-02 19:00:00,2.7856666666666663,0.0,0.8794500000000001,0.0,5.560666666666666,0.0
2025-04-02 20:00:00,2.9213333333333336,0.0,0.7153833333333334,0.0,7.658666666666666,0.0
2025-04-02 21:00:00,3.0193333333333334,0.0,0.8032166666666666,0.0,7.062666666666667,0.0
2025-04-02 22:00:00,3.3345,0.0,0.77765,0.0,6.393,0.0
2025-04-02 23:00:00,2.492166666666667,0.0,0.5740999999999999,0.0,6.263166666666667,0.0
2025-04-03 00:00:00,2.558666666666667,0.0,0.8300833333333333,0.0,6.201333333333333,0.0
2025-04-03 01:00:00,2.4986666666666664,0.0,1.1603333333333334,0.0,3.3516666666666666,0.0
2025-04-03 02:00:00,1.7615,0.0,1.0731333333333335,0.0,3.692833333333333,0.0
2025-04-03 03:00:00,1.4303333333333332,0.0,1.01875,0.0,2.867833333333333,0.0
2025-04-03 04:00:00,1.4043333333333334,0.0,0.8501333333333334,0.0,2.0928333333333335,0.0
2025-04-03 05:00:00,2.2488333333333332,0.07563333333333334,1.1929166666666666,0.0,4.925166666666667,0.0
2025-04-03 06:00:00,3.220666666666667,0.081915,2.0533333333333332,0.0,7.414833333333333,0.0
2025-04-03 07:00:00,3.414833333333333,0.40686666666666665,2.2708333333333335,0.0,8.521666666666667,0.0
2025-04-03 08:00:00,3.2205,0.014073333333333334,2.3965,0.0,9.393333333333334,0.0
2025-04-03 09:00:00,2.9911666666666665,0.11004666666666667,2.3838333333333335,0.0,8.914333333333333,0.0
2025-04-03 10:00:00,3.4181666666666666,0.0,2.456166666666667,0.0,8.907666666666668,0.0
2025-04-03 11:00:00,3.817333333333333,0.0,2.1126666666666667,0.0,10.209166666666667,0.0
2025-04-03 12:00:00,3.3136666666666668,0.0,1.8451666666666666,0.0,10.502999999999998,0.0
2025-04-03 13:00:00,3.2636666666666665,0.0,1.4421666666666666,0.0,7.497,0.0
2025-04-03 14:00:00,2.7680000000000002,0.0,0.92895,0.0,4.087166666666667,0.0
2025-04-03 15:00:00,2.0385,0.0,0.5325333333333333,0.0,5.036333333333333,0.0
2025-04-03 16:00:00,2.5993333333333335,0.0,0.5061666666666667,0.0,5.385833333333333,0.0
2025-04-03 17:00:00,2.3795,0.0,0.5452666666666667,0.0,4.483833333333333,0.0
2025-04-03 18:00:00,1.7423333333333333,0.0,0.23954,0.0,3.0933333333333333,0.0
2025-04-03 19:00:00,1.5855,0.0,0.07505833333333332,0.0,1.32329,0.0
2025-04-03 20:00:00,1.7948333333333333,0.0,0.18340666666666666,0.0,0.0,0.0
2025-04-03 21:00:00,1.1799,0.0,0.0,0.0,0.0,0.0
2025-04-03 22:00:00,1.8783333333333334,0.0,0.10535666666666667,0.0,0.0,0.0
2025-04-03 23:00:00,2.1608333333333336,0.0,0.15138000000000001,0.0,1.0619,0.0
2025-04-04 00:00:00,1.2041833333333334,0.0,0.0,0.0,0.98339,0.0
2025-04-04 01:00:00,1.1397166666666665,0.0,0.0,0.0,0.0,0.0
2025-04-04 02:00:00,0.8620666666666668,0.12876666666666667,0.0,0.0,0.0,0.0
2025-04-04 03:00:00,0.31494,0.011256666666666667,0.02064,0.0,0.12028666666666667,0.0
2025-04-04 04:00:00,0.5386666666666666,0.0,0.6062,0.0,0.8252349999999999,0.0
2025-04-04 05:00:00,0.8516999999999999,0.0,0.9665833333333332,0.0,0.84995,0.0
2025-04-04 06:00:00,1.3642833333333333,0.0,1.58025,0.0,1.398,0.0
2025-04-04 07:00:00,1.8875,0.20409333333333332,1.8775000000000002,0.0,2.4374666666666664,0.0
2025-04-04 08:00:00,1.6182166666666666,0.26613333333333333,1.9578333333333333,0.0,2.2428833333333333,0.0
2025-04-04 09:00:00,1.2334833333333333,0.3015866666666667,1.4796666666666667,0.0,1.8202666666666665,0.0
2025-04-04 10:00:00,2.4605,0.11004666666666667,2.5341666666666667,0.0,5.8965000000000005,0.0
2025-04-04 11:00:00,3.021666666666667,0.12004666666666666,2.2353333333333336,0.0,7.235666666666666,0.0
2025-04-04 12:00:00,4.2444999999999995,0.6328983333333333,2.4726666666666666,0.0,13.819333333333333,0.0
2025-04-04 13:00:00,4.2571666666666665,0.0009383333333333333,2.08,0.0,13.643333333333334,0.0
2025-04-04 14:00:00,3.656833333333333,0.0,1.7921666666666667,0.0,14.433333333333334,0.0
2025-04-04 15:00:00,3.8916666666666666,0.0,1.7673333333333332,0.0,12.263333333333332,0.0
2025-04-04 16:00:00,3.396333333333333,0.0,1.6548333333333332,0.0,6.726333333333333,0.0
2025-04-04 17:00:00,2.627333333333333,0.0,1.3698333333333332,0.0,5.168,0.0
2025-04-04 18:00:00,2.7351666666666663,0.0,1.3271666666666666,0.0,6.161833333333333,0.0
2025-04-04 19:00:00,2.3358333333333334,0.0,0.9792833333333333,0.0,3.7666666666666666,0.0
2025-04-04 20:00:00,3.1106666666666665,0.0,0.9712166666666667,0.0,7.024666666666667,0.0
2025-04-04 21:00:00,2.308333333333333,0.0,0.6585,0.0,7.280666666666666,0.0
2025-04-04 22:00:00,2.631666666666667,0.0,0.8533833333333334,0.0,8.056666666666667,0.0
2025-04-04 23:00:00,3.1895000000000002,0.0,0.6580833333333334,0.0,7.2571666666666665,0.0
2025-04-05 00:00:00,3.1326666666666667,0.0,0.8775999999999999,0.0,4.479883333333333,0.0
2025-04-05 01:00:00,3.6521666666666666,0.22672,1.6798333333333335,0.0,11.064166666666667,0.0
2025-04-05 02:00:00,3.7925,0.18753333333333336,2.1373333333333333,0.0,14.046666666666665,0.0
2025-04-05 03:00:00,3.3676666666666666,0.42488333333333334,1.9385000000000001,0.0,11.734833333333334,0.0
2025-04-05 04:00:00,4.972333333333333,0.2525133333333333,3.1021666666666667,0.0,17.216666666666665,0.0
2025-04-05 05:00:00,4.731166666666667,0.11035666666666667,3.25,0.0,15.736666666666668,0.0
2025-04-05 06:00:00,4.7585,0.0015633333333333332,2.9699999999999998,0.0,19.033333333333335,0.0
2025-04-05 07:00:00,5.2065,0.69248,3.6411666666666664,0.0,19.203333333333333,0.0
2025-04-05 08:00:00,5.812666666666667,0.9531666666666666,3.372,0.0,19.52,0.0
2025-04-05 09:00:00,4.790666666666667,0.32235,3.1683333333333334,0.0,17.983333333333334,0.0
2025-04-05 10:00:00,5.143833333333333,0.21589,2.8321666666666667,0.0,15.595,0.0
2025-04-05 11:00:00,4.688000000000001,0.0018766666666666667,3.0305000000000004,0.0,17.373333333333335,0.0
2025-04-05 12:00:00,4.313999999999999,0.21317,2.36,0.0,13.3015,0.0
2025-04-05 13:00:00,3.066666666666667,0.0,1.5198333333333334,0.0,8.45,0.0
2025-04-05 14:00:00,2.2343333333333333,0.0,0.8443,0.0,6.6514999999999995,0.0
2025-04-05 15:00:00,2.0015,0.0,0.51605,0.0,7.158833333333334,0.0
2025-04-05 16:00:00,2.407166666666667,0.0,0.39425000000000004,0.0,5.418333333333334,0.0
2025-04-05 17:00:00,1.8536666666666666,0.0,0.4204666666666667,0.0,5.046166666666666,0.0
2025-04-05 18:00:00,1.5585,0.0,0.05219,0.0,0.4584733333333333,0.0
2025-04-05 19:00:00,2.2256666666666667,0.0,0.0,0.0,1.3073333333333332,0.0
2025-04-05 20:00:00,1.7195,0.0,0.0,0.0,3.3393333333333333,0.0
2025-04-05 21:00:00,1.1051333333333335,0.0,0.0,0.0,0.5748066666666667,0.0
2025-04-05 22:00:00,1.3385,0.0,0.0,0.0,0.0,0.0
2025-04-05 23:00:00,1.4909999999999999,0.0,0.0,0.0,0.0,0.0
2025-04-06 00:00:00,1.36835,0.0,0.0,0.0,0.0,0.0
2025-04-06 01:00:00,0.9846333333333334,0.0,0.0,0.0,0.0,0.0
2025-04-06 02:00:00,1.3441666666666667,0.0,0.26037,0.0,0.5818083333333333,0.0
2025-04-06 03:00:00,0.7452666666666666,0.0,0.79325,0.0,0.32759,0.0
2025-04-06 04:00:00,0.8711,0.0,0.9574666666666667,0.0,0.8335816666666667,0.0
2025-04-06 05:00:00,2.0546166666666665,0.29949,1.2618166666666668,0.0,3.3975999999999997,0.0
2025-04-06 06:00:00,2.3515,0.3952333333333333,1.536333333333333,0.0,6.857,0.0
2025-04-06 07:00:00,2.688,0.5516833333333333,1.9061666666666668,0.0,9.050333333333333,0.0
2025-04-06 08:00:00,2.416166666666667,0.4038333333333333,1.831,0.0,6.514166666666667,0.0
2025-04-06 09:00:00,2.2751666666666663,0.3864433333333333,2.039,0.0,9.514000000000001,0.0
2025-04-06 10:00:00,2.785166666666667,0.20947166666666667,2.0656666666666665,0.0,10.245166666666668,0.0
2025-04-06 11:00:00,2.564833333333333,0.115985,1.579,0.0,8.2215,0.0
2025-04-06 12:00:00,2.4263333333333335,0.20078833333333332,1.8245,0.0,9.010166666666667,0.0
2025-04-06 13:00:00,1.7953333333333332,0.0009383333333333333,1.2196166666666668,0.0,6.138,0.0
2025-04-06 14:00:00,1.3736666666666666,0.0,0.5700500000000001,0.0,3.693166666666667,0.0
2025-04-06 15:00:00,1.9821666666666666,0.0,0.38295666666666667,0.0,3.5732,0.0
2025-04-06 16:00:00,0.4577233333333333,0.0,0.0,0.0,0.05264,0.0
2025-04-06 17:00:00,0.754925,0.0,0.0,0.0,0.0,0.0
2025-04-06 18:00:00,1.9793333333333334,0.0,0.0,0.0,0.31178333333333336,0.0
2025-04-06 19:00:00,1.6247333333333331,0.0,0.16853333333333334,0.0,2.3886499999999997,0.0
2025-04-06 20:00:00,1.6032,0.0,0.3345166666666667,0.0,0.6583066666666667,0.0
2025-04-06 21:00:00,0.14335666666666666,0.0,0.008756666666666666,0.0,0.0,0.0
2025-04-06 22:00:00,0.0018766666666666667,0.0,0.22431,0.0,0.17841500000000002,0.0
