Time,Wind M9,Wind M29,Wind M54,Wind M78
2025-04-02 17:00:00,0.7634266666666666,2.2158333333333333,0.6648833333333334,1.6461666666666666
2025-04-02 18:00:00,0.66585,1.7758833333333333,0.20233333333333334,1.8041666666666667
2025-04-02 19:00:00,1.67045,0.8858833333333334,0.4384133333333333,0.9559666666666667
2025-04-02 20:00:00,0.8889666666666667,0.7473,0.05,1.5243333333333333
2025-04-02 21:00:00,0.4892333333333333,0.34725333333333336,0.0,0.4526833333333334
2025-04-02 22:00:00,0.60575,1.3940666666666668,0.0,1.0909
2025-04-02 23:00:00,0.59155,1.0317333333333334,0.0,0.8771666666666668
2025-04-03 00:00:00,0.33876666666666666,0.9558166666666668,0.0,1.2120166666666667
2025-04-03 01:00:00,0.3081416666666667,0.4000766666666667,0.03791666666666667,0.96505
2025-04-03 02:00:00,0.91255,0.24465,0.41628333333333334,0.37864166666666665
2025-04-03 03:00:00,2.3280000000000003,0.8392166666666667,0.8507666666666667,0.45111666666666667
2025-04-03 04:00:00,3.2388333333333335,1.92445,2.0104833333333336,1.16415
2025-04-03 05:00:00,3.7355,2.6025,2.7785,1.6051666666666666
2025-04-03 06:00:00,4.908333333333333,2.9739999999999998,3.4709999999999996,3.5876666666666663
2025-04-03 07:00:00,4.139666666666667,3.3971666666666667,2.3495,3.8643333333333336
2025-04-03 08:00:00,3.808666666666667,2.933,2.8876666666666666,3.4411666666666667
2025-04-03 09:00:00,3.1311666666666667,2.8905000000000003,3.2146666666666666,3.5141666666666667
2025-04-03 10:00:00,3.5025,4.025666666666667,3.687,3.5828333333333333
2025-04-03 11:00:00,3.1361666666666665,3.0221666666666667,3.2438333333333333,3.1286666666666667
2025-04-03 12:00:00,2.3541666666666665,1.9396666666666667,1.1073666666666668,1.4583333333333333
2025-04-03 13:00:00,2.268333333333333,1.682,0.4500033333333333,0.7007
2025-04-03 14:00:00,1.32615,2.3994166666666668,0.6835666666666668,0.9786833333333332
2025-04-03 15:00:00,0.7160333333333334,2.267933333333333,1.2936833333333333,1.916
2025-04-03 16:00:00,0.7716333333333334,0.4423666666666667,0.41623333333333334,2.3160000000000003
2025-04-03 17:00:00,0.7071833333333333,0.64185,0.010943333333333333,2.4146666666666667
2025-04-03 18:00:00,0.5680333333333334,0.6076833333333334,0.5894499999999999,1.6023333333333334
2025-04-03 19:00:00,0.14053333333333334,0.26355,0.213025,2.4546666666666668
2025-04-03 20:00:00,0.41353333333333336,0.5994666666666666,0.0,2.3235
2025-04-03 21:00:00,0.5475833333333334,0.43277,0.0,2.131333333333333
2025-04-03 22:00:00,0.46175000000000005,0.46613333333333334,0.0,1.2217333333333333
