datetime,Weather Station;wind_speed;Avg (m/s),Weather Station;wind_speed;Max (m/s),Weather Station;wind_speed;Min (m/s),Weather Station;wind_speed;StdDev (m/s),Weather Station;wind_speed;Count (),Weather Station;wind_direction;Avg (°),Weather Station;wind_direction;StdDev (°),Weather Station;wind_direction;Count (),Weather Station;humidity;Avg (%),Weather Station;humidity;Max (%),Weather Station;humidity;Min (%),Weather Station;humidity;StdDev (%),Weather Station;humidity;Count (),Weather Station;temperature;Avg (°C),Weather Station;temperature;Max (°C),Weather Station;temperature;Min (°C),Weather Station;temperature;StdDev (°C),Weather Station;temperature;Count (),Weather Station;air_pressure;Avg (hPa),Weather Station;air_pressure;Max (hPa),Weather Station;air_pressure;Min (hPa),Weather Station;air_pressure;StdDev (hPa),Weather Station;air_pressure;Count (),Solar Sensor;solar_irradiance;Avg (W/m²),Solar Sensor;solar_irradiance;Max (W/m²),Solar Sensor;solar_irradiance;Min (W/m²),Solar Sensor;solar_irradiance;StdDev (W/m²),Solar Sensor;solar_irradiance;Count (),Monitoring Current Clima US TFB;voltage;Avg (A),Monitoring Current Clima US TFB;voltage;Max (A),Monitoring Current Clima US TFB;voltage;Min (A),Monitoring Current Clima US TFB;voltage;StdDev (A),Monitoring Current Clima US TFB;voltage;Count (),Monitoring Current Modem;voltage;Avg (A),Monitoring Current Modem;voltage;Max (A),Monitoring Current Modem;voltage;Min (A),Monitoring Current Modem;voltage;StdDev (A),Monitoring Current Modem;voltage;Count (),Monitoring Voltage Solarmodule;voltage;Avg (V),Monitoring Voltage Solarmodule;voltage;Max (V),Monitoring Voltage Solarmodule;voltage;Min (V),Monitoring Voltage Solarmodule;voltage;StdDev (V),Monitoring Voltage Solarmodule;voltage;Count (),Door switch;status;Count (),Door switch;status;Sum (),Weather Station;brightness_direction;Avg (°),Weather Station;brightness_direction;Max (°),Weather Station;brightness_direction;Min (°),Weather Station;brightness_direction;StdDev (°),Weather Station;brightness_direction;Count (),Weather Station;brightness_max;Avg (lux),Weather Station;brightness_max;Max (lux),Weather Station;brightness_max;Min (lux),Weather Station;brightness_max;StdDev (lux),Weather Station;brightness_max;Count (),Weather Station;precipitation_intensity;Avg (mm/h),Weather Station;precipitation_intensity;Max (mm/h),Weather Station;precipitation_intensity;Min (mm/h),Weather Station;precipitation_intensity;StdDev (mm/h),Weather Station;precipitation_intensity;Count (),Weather Station;precipitation_intensity;Sum (mm/h),Weather Station;precipitation_status;Avg (),Weather Station;precipitation_status;Max (),Weather Station;precipitation_status;Min (),Weather Station;precipitation_status;StdDev (),Weather Station;precipitation_status;Count (),Weather Station;precipitation_sum;Avg (mm/d),Weather Station;precipitation_sum;Max (mm/d),Weather Station;precipitation_sum;Min (mm/d),Weather Station;precipitation_sum;StdDev (mm/d),Weather Station;precipitation_sum;Count (),Weather Station;synop;Max (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A1;channel;Count (),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A2;channel;Count (),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A3;channel;Count (),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A4;channel;Count (),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),D1;channel;Count (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-10-01 00:00:00,2.2773,2.9,1.5,0.2828,600,273.5794,6.0938,600,86.2417,87,85,0.6434,600,7.9933,8.3,7.8,0.1228,600,993.773,993.9,993.7,0.0459,600,3.2708,13.9714,0,4.6629,600,0.0261,0.0304,0.0229,0.0022,600,0.0026,0.0215,0.0001,0.0025,600,26.2875,26.3277,26.2465,0.0307,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0013,0.0107,0,0.0013,600,0.0131,0.0152,0.0114,0.0011,600,3.7554,3.7611,3.7495,0.0044,600,0,0.0001,-0.0001,0.0001,600,1,1,1,0,600,11.1,25.0583,68,7,25.92,26.02,25.87
2022-10-01 00:10:00,2.3545,3.1,1.5,0.291,600,271.1109,5.3612,600,87.3633,88,87,0.4814,600,7.733,7.9,7.5,0.0754,600,993.7015,993.8,993.6,0.0147,600,4.0168,13.9714,0,4.8225,600,0.026,0.0288,0.0239,0.0011,600,0.0014,0.0106,0.0001,0.0025,600,26.2736,26.3021,26.2316,0.0232,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0007,0.0053,0,0.0012,600,0.013,0.0144,0.012,0.0006,600,3.7534,3.7574,3.7474,0.0033,600,0,0.0001,-0.0001,0.0001,600,1,1,1,0,600,12.5,14.2933,33,7,25.92,26.02,25.82
2022-10-01 00:20:00,2.18,3.1,1.1,0.3621,600,272.9164,5.6817,600,88.4717,89,88,0.4996,600,7.4342,7.6,7.2,0.0877,600,993.6607,993.7,993.6,0.0489,600,0.8616,13.9714,0,2.8426,600,0.0269,0.0301,0.0233,0.0017,600,0.0001,0.0001,0.0001,0,600,26.3044,26.3085,26.2978,0.0018,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0134,0.015,0.0117,0.0008,600,3.7578,3.7584,3.7568,0.0003,600,0,0.0001,-0.0001,0,600,1,1,1,0,600,11,8.7667,11,7,25.97,26.02,25.92
2022-10-01 00:30:00,2.2195,3,1.3,0.2633,600,276.0642,5.1243,600,89.0017,90,89,0.0408,600,7.2672,7.4,7.2,0.0484,600,993.632,993.7,993.6,0.0467,600,0,0,0,0,600,0.0257,0.0286,0.0231,0.0013,600,0.0001,0.0001,0.0001,0,600,26.3033,26.3063,26.2978,0.0017,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0129,0.0143,0.0115,0.0006,600,3.7576,3.758,3.7568,0.0002,600,0,0,0,0,600,1,1,1,0,600,10.4,8.77,11,7,25.97,26.02,25.92
2022-10-01 00:40:00,2.2495,3.1,1.4,0.2922,600,275.3043,5.6296,600,89.6033,90,89,0.4896,600,7.2168,7.3,7.1,0.0466,600,993.6877,993.7,993.6,0.0329,600,0,0,0,0,600,0.0271,0.0306,0.0239,0.0017,600,0.0001,0.0001,0.0001,0,600,26.2979,26.3021,26.2935,0.0022,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0135,0.0153,0.012,0.0009,600,3.7568,3.7574,3.7562,0.0003,600,0,0,0,0,600,1,1,1,0,600,10,8.7567,11,7,25.96,26.02,25.92
2022-10-01 00:50:00,2.0275,2.6,1.3,0.2088,600,274.7815,4.9859,600,90,90,90,0,600,7.1463,7.2,7,0.0541,600,993.6183,993.7,993.5,0.0444,600,0,0,0,0,600,0.0255,0.0289,0.0231,0.0014,600,0.0001,0.0001,0.0001,0,600,26.291,26.2957,26.2871,0.0023,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0127,0.0144,0.0116,0.0007,600,3.7559,3.7565,3.7553,0.0003,600,0,0,0,0,600,1,1,1,0,600,10,8.7867,11,7,25.95,25.97,25.92
2022-10-01 01:00:00,1.9887,2.8,1.2,0.371,600,269.2783,7.2851,600,90.33,91,90,0.4706,600,6.9593,7.2,6.8,0.0888,600,993.5457,993.6,993.5,0.0499,600,0,0,0,0,600,0.0264,0.03,0.024,0.0016,600,0.0018,0.0323,0.0001,0.003,600,26.2521,26.2871,26.2166,0.0271,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0009,0.0161,0,0.0015,600,0.0132,0.015,0.012,0.0008,600,3.7503,3.7553,3.7452,0.0039,600,0,0,0,0,600,1,1,1,0,600,10.6,25.2217,68,7,25.89,25.97,25.82
2022-10-01 01:10:00,1.5325,2.2,0.8,0.2283,600,257.0975,8.1788,600,91,91,91,0,600,6.8112,6.9,6.7,0.0586,600,993.458,993.5,993.3,0.0504,600,0,0,0,0,600,0.0258,0.0303,0.0233,0.0016,600,0.0001,0.0009,0.0001,0,600,26.2584,26.2679,26.223,0.0084,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0005,0,0,600,0.0129,0.0152,0.0116,0.0008,600,3.7512,3.7526,3.7461,0.0012,600,0,0,0,0,600,1,1,1,0,600,11.2,8.81,29,7,25.92,25.97,25.82
2022-10-01 01:20:00,1.5162,2.1,0.8,0.2366,600,255.915,9.7153,600,91,91,91,0,600,6.6847,6.8,6.6,0.0379,600,993.3065,993.4,993.2,0.026,600,0,0,0,0,600,0.0261,0.029,0.0239,0.0012,600,0.0001,0.0001,0.0001,0,600,26.2659,26.2679,26.2615,0.0014,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0131,0.0145,0.0119,0.0006,600,3.7523,3.7526,3.7516,0.0002,600,0,0,0,0,600,1,1,1,0,600,10,8.7933,11,7,25.92,25.97,25.87
2022-10-01 01:30:00,1.6203,2.1,1.2,0.15,600,267.702,4.6999,600,91.1,92,91,0.3003,600,6.5662,6.7,6.4,0.0649,600,993.2455,993.3,993.2,0.0498,600,0,0,0,0,600,0.0264,0.0305,0.0233,0.0021,600,0.0001,0.0001,0.0001,0,600,26.2602,26.2636,26.2551,0.0024,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0132,0.0152,0.0116,0.001,600,3.7515,3.7519,3.7507,0.0003,600,0,0,0,0,600,1,1,1,0,600,9.8,8.7767,11,7,25.92,25.97,25.87
