datetime,Weather Station;wind_speed;Avg (m/s),Weather Station;wind_speed;Max (m/s),Weather Station;wind_speed;Min (m/s),Weather Station;wind_speed;StdDev (m/s),Weather Station;wind_speed;Count (),Weather Station;wind_direction;Avg (°),Weather Station;wind_direction;StdDev (°),Weather Station;wind_direction;Count (),Weather Station;humidity;Avg (%),Weather Station;humidity;Max (%),Weather Station;humidity;Min (%),Weather Station;humidity;StdDev (%),Weather Station;humidity;Count (),Weather Station;temperature;Avg (°C),Weather Station;temperature;Max (°C),Weather Station;temperature;Min (°C),Weather Station;temperature;StdDev (°C),Weather Station;temperature;Count (),Weather Station;air_pressure;Avg (hPa),Weather Station;air_pressure;Max (hPa),Weather Station;air_pressure;Min (hPa),Weather Station;air_pressure;StdDev (hPa),Weather Station;air_pressure;Count (),Solar Sensor;solar_irradiance;Avg (W/m²),Solar Sensor;solar_irradiance;Max (W/m²),Solar Sensor;solar_irradiance;Min (W/m²),Solar Sensor;solar_irradiance;StdDev (W/m²),Solar Sensor;solar_irradiance;Count (),Monitoring Current Clima US TFB;voltage;Avg (A),Monitoring Current Clima US TFB;voltage;Max (A),Monitoring Current Clima US TFB;voltage;Min (A),Monitoring Current Clima US TFB;voltage;StdDev (A),Monitoring Current Clima US TFB;voltage;Count (),Monitoring Current Modem;voltage;Avg (A),Monitoring Current Modem;voltage;Max (A),Monitoring Current Modem;voltage;Min (A),Monitoring Current Modem;voltage;StdDev (A),Monitoring Current Modem;voltage;Count (),Monitoring Voltage Solarmodule;voltage;Avg (V),Monitoring Voltage Solarmodule;voltage;Max (V),Monitoring Voltage Solarmodule;voltage;Min (V),Monitoring Voltage Solarmodule;voltage;StdDev (V),Monitoring Voltage Solarmodule;voltage;Count (),Door switch;status;Count (),Door switch;status;Sum (),Weather Station;brightness_direction;Avg (°),Weather Station;brightness_direction;Max (°),Weather Station;brightness_direction;Min (°),Weather Station;brightness_direction;StdDev (°),Weather Station;brightness_direction;Count (),Weather Station;brightness_max;Avg (lux),Weather Station;brightness_max;Max (lux),Weather Station;brightness_max;Min (lux),Weather Station;brightness_max;StdDev (lux),Weather Station;brightness_max;Count (),Weather Station;precipitation_intensity;Avg (mm/h),Weather Station;precipitation_intensity;Max (mm/h),Weather Station;precipitation_intensity;Min (mm/h),Weather Station;precipitation_intensity;StdDev (mm/h),Weather Station;precipitation_intensity;Count (),Weather Station;precipitation_intensity;Sum (mm/h),Weather Station;precipitation_status;Avg (),Weather Station;precipitation_status;Max (),Weather Station;precipitation_status;Min (),Weather Station;precipitation_status;StdDev (),Weather Station;precipitation_status;Count (),Weather Station;precipitation_sum;Avg (mm/d),Weather Station;precipitation_sum;Max (mm/d),Weather Station;precipitation_sum;Min (mm/d),Weather Station;precipitation_sum;StdDev (mm/d),Weather Station;precipitation_sum;Count (),Weather Station;synop;Max (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A1;channel;Count (),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A2;channel;Count (),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A3;channel;Count (),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A4;channel;Count (),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),D1;channel;Count (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-07-01 00:00:00,1.395,1.8,0.7,0.2543,600,250.6149,8.2671,600,79.3717,80,78,0.4973,600,20.96,21.1,20.8,0.0784,600,993.306,993.4,993.3,0.0238,600,0,0,0,0,600,0.0267,0.0293,0.0247,0.0008,600,0.0026,0.0353,0.0001,0.0027,600,26.2819,26.3213,26.2401,0.0309,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0013,0.0176,0,0.0014,600,0.0134,0.0146,0.0123,0.0004,600,3.7546,3.7602,3.7486,0.0044,600,0,0,0,0,600,1,1,1,0,600,24.5,25.2483,70,5,25.91,26.02,25.82
2022-07-01 00:10:00,1.5313,2,0.9,0.175,600,247.661,15.6114,600,80.56,81,80,0.4968,600,20.7438,20.9,20.6,0.0831,600,993.3,993.4,993.2,0.0116,600,0,0,0,0,600,0.0261,0.0295,0.0239,0.0015,600,0.0007,0.0114,0.0001,0.0019,600,26.2675,26.285,26.2273,0.0173,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0004,0.0057,0,0.0009,600,0.013,0.0148,0.0119,0.0007,600,3.7525,3.755,3.7468,0.0025,600,0,0,0,0,600,1,1,1,0,600,25.2,11.7433,33,5,25.9,25.97,25.82
2022-07-01 00:20:00,1.3567,2.2,0.6,0.3298,600,219.4275,7.5827,600,81,81,81,0,600,20.5792,20.6,20.5,0.0406,600,993.2492,993.3,993.2,0.05,600,0,0,0,0,600,0.026,0.0295,0.0242,0.0012,600,0.0001,0.0001,0.0001,0,600,26.2849,26.2871,26.2807,0.0013,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.013,0.0148,0.0121,0.0006,600,3.755,3.7553,3.7544,0.0002,600,0,0,0,0,600,1,1,1,0,600,24,8.7133,13,5,25.92,25.97,25.87
2022-07-01 00:30:00,1.0528,1.7,0.5,0.2348,600,232.4423,11.2432,600,81.7183,82,81,0.4502,600,20.4755,20.6,20.4,0.0478,600,993.2073,993.3,993.2,0.0261,600,0,0,0,0,600,0.0275,0.03,0.0249,0.001,600,0.0001,0.0001,0.0001,0,600,26.2782,26.285,26.2722,0.0031,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0137,0.015,0.0124,0.0005,600,3.754,3.755,3.7532,0.0004,600,0,0,0,0,600,1,1,1,0,600,23.4,8.7133,13,5,25.92,25.97,25.87
2022-07-01 00:40:00,1.42,2.2,0.8,0.2135,600,237.0683,8.2565,600,80.6967,81,80,0.4601,600,20.6995,20.9,20.5,0.099,600,993.2945,993.3,993.2,0.0228,600,0,0,0,0,600,0.0257,0.0296,0.0237,0.0014,600,0.0001,0.0001,0.0001,0,600,26.2678,26.2743,26.2615,0.0036,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0129,0.0148,0.0119,0.0007,600,3.7525,3.7535,3.7516,0.0005,600,0,0,0,0,600,1,1,1,0,600,23,8.7133,13,5,25.92,25.97,25.87
2022-07-01 00:50:00,1.465,2.1,0.8,0.2335,600,222.1757,7.3775,600,80.4367,81,80,0.4964,600,20.7648,20.9,20.6,0.0783,600,993.2182,993.3,993.1,0.0403,600,0,0,0,0,600,0.0258,0.0294,0.0237,0.0014,600,0.0001,0.0001,0.0001,0,600,26.2567,26.2636,26.2508,0.0034,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0129,0.0147,0.0118,0.0007,600,3.751,3.7519,3.7501,0.0005,600,0,0,0,0,600,1,1,1,0,600,23,8.6833,13,5,25.89,25.97,25.87
2022-07-01 01:00:00,1.2908,2.2,0.7,0.2374,600,218.6734,7.2441,600,81.45,82,81,0.4979,600,20.5672,20.7,20.5,0.0477,600,993.239,993.3,993.1,0.0564,600,0,0,0,0,600,0.0267,0.0291,0.0247,0.0008,600,0.0029,0.041,0.0001,0.0033,600,26.2121,26.2529,26.1696,0.0311,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0014,0.0205,0,0.0016,600,0.0134,0.0146,0.0124,0.0004,600,3.7446,3.7504,3.7385,0.0044,600,0,0,0,0,600,1,1,1,0,600,23.6,25.3017,70,5,25.83,25.97,25.77
2022-07-01 01:10:00,1.2745,1.7,0.9,0.1632,600,220.4696,5.0413,600,81.1367,82,81,0.3438,600,20.6623,20.8,20.5,0.0713,600,993.2728,993.3,993.2,0.0445,600,0,0,0,0,600,0.0265,0.0306,0.0243,0.0015,600,0.0009,0.0106,0.0001,0.0022,600,26.1943,26.2145,26.1547,0.018,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0005,0.0053,0,0.0011,600,0.0133,0.0153,0.0121,0.0008,600,3.742,3.7449,3.7364,0.0026,600,0,0,0,0,600,1,1,1,0,600,24.5,12.3667,33,5,25.82,25.92,25.77
2022-07-01 01:20:00,1.5555,2.3,1,0.2331,600,220.9615,6.2914,600,80.8967,81,80,0.3046,600,20.8137,20.9,20.7,0.0453,600,993.1527,993.2,993.1,0.05,600,0,0,0,0,600,0.0262,0.03,0.0237,0.0018,600,0.0001,0.0001,0.0001,0,600,26.2142,26.2166,26.2123,0.0012,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0131,0.015,0.0118,0.0009,600,3.7449,3.7452,3.7446,0.0002,600,0,0,0,0,600,1,1,1,0,600,23.3,8.7067,13,5,25.86,25.92,25.82
2022-07-01 01:30:00,1.741,2.7,0.5,0.3923,600,215.2006,8.9499,600,81.415,82,81,0.4931,600,20.7192,20.8,20.6,0.0547,600,993.0148,993.1,992.9,0.0717,600,0,0,0,0,600,0.027,0.0297,0.0244,0.001,600,0.0001,0.0001,0.0001,0,600,26.209,26.2145,26.2038,0.0026,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0135,0.0149,0.0122,0.0005,600,3.7441,3.7449,3.7434,0.0004,600,0,0,0,0,600,1,1,1,0,600,23,8.71,13,5,25.85,25.92,25.82
