datetime,Weather Station;wind_speed;Avg (m/s),Weather Station;wind_speed;Max (m/s),Weather Station;wind_speed;Min (m/s),Weather Station;wind_speed;StdDev (m/s),Weather Station;wind_speed;Count (),Weather Station;wind_direction;Avg (°),Weather Station;wind_direction;StdDev (°),Weather Station;wind_direction;Count (),Weather Station;humidity;Avg (%),Weather Station;humidity;Max (%),Weather Station;humidity;Min (%),Weather Station;humidity;StdDev (%),Weather Station;humidity;Count (),Weather Station;temperature;Avg (°C),Weather Station;temperature;Max (°C),Weather Station;temperature;Min (°C),Weather Station;temperature;StdDev (°C),Weather Station;temperature;Count (),Weather Station;air_pressure;Avg (hPa),Weather Station;air_pressure;Max (hPa),Weather Station;air_pressure;Min (hPa),Weather Station;air_pressure;StdDev (hPa),Weather Station;air_pressure;Count (),Solar Sensor;solar_irradiance;Avg (W/m²),Solar Sensor;solar_irradiance;Max (W/m²),Solar Sensor;solar_irradiance;Min (W/m²),Solar Sensor;solar_irradiance;StdDev (W/m²),Solar Sensor;solar_irradiance;Count (),Monitoring Current Clima US TFB;voltage;Avg (A),Monitoring Current Clima US TFB;voltage;Max (A),Monitoring Current Clima US TFB;voltage;Min (A),Monitoring Current Clima US TFB;voltage;StdDev (A),Monitoring Current Clima US TFB;voltage;Count (),Monitoring Current Modem;voltage;Avg (A),Monitoring Current Modem;voltage;Max (A),Monitoring Current Modem;voltage;Min (A),Monitoring Current Modem;voltage;StdDev (A),Monitoring Current Modem;voltage;Count (),Monitoring Voltage Solarmodule;voltage;Avg (V),Monitoring Voltage Solarmodule;voltage;Max (V),Monitoring Voltage Solarmodule;voltage;Min (V),Monitoring Voltage Solarmodule;voltage;StdDev (V),Monitoring Voltage Solarmodule;voltage;Count (),Door switch;status;Count (),Door switch;status;Sum (),Weather Station;brightness_direction;Avg (°),Weather Station;brightness_direction;Max (°),Weather Station;brightness_direction;Min (°),Weather Station;brightness_direction;StdDev (°),Weather Station;brightness_direction;Count (),Weather Station;brightness_max;Avg (lux),Weather Station;brightness_max;Max (lux),Weather Station;brightness_max;Min (lux),Weather Station;brightness_max;StdDev (lux),Weather Station;brightness_max;Count (),Weather Station;precipitation_intensity;Avg (mm/h),Weather Station;precipitation_intensity;Max (mm/h),Weather Station;precipitation_intensity;Min (mm/h),Weather Station;precipitation_intensity;StdDev (mm/h),Weather Station;precipitation_intensity;Count (),Weather Station;precipitation_intensity;Sum (mm/h),Weather Station;precipitation_status;Avg (),Weather Station;precipitation_status;Max (),Weather Station;precipitation_status;Min (),Weather Station;precipitation_status;StdDev (),Weather Station;precipitation_status;Count (),Weather Station;precipitation_sum;Avg (mm/d),Weather Station;precipitation_sum;Max (mm/d),Weather Station;precipitation_sum;Min (mm/d),Weather Station;precipitation_sum;StdDev (mm/d),Weather Station;precipitation_sum;Count (),Weather Station;synop;Max (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A1;channel;Count (),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A2;channel;Count (),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A3;channel;Count (),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A4;channel;Count (),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),D1;channel;Count (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-09-01 00:00:00,1.1023,2.7,0.1,0.5317,600,165.8018,31.3789,600,68.9933,70,68,0.5168,600,14.2905,14.4,14.1,0.0813,600,1003.4323,1003.5,1003.4,0.0468,600,0,0,0,0,600,0.0252,0.0286,0.0225,0.0013,600,0.0025,0.0228,0.0001,0.0025,600,26.3057,26.3448,26.2658,0.0299,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0013,0.0114,0,0.0012,600,0.0126,0.0143,0.0112,0.0006,600,3.758,3.7635,3.7523,0.0043,600,0,0,0,0,600,1,1,1,0,600,17.8,25.115,70,5,25.92,26.07,25.87
2022-09-01 00:10:00,0.8957,2.1,0.1,0.4033,600,162.4727,32.9915,600,70.0167,71,70,0.1281,600,13.9963,14.2,13.9,0.0597,600,1003.3828,1003.5,1003.3,0.0386,600,0,0,0,0,600,0.026,0.0287,0.0242,0.001,600,0.0007,0.0105,0.0001,0.0019,600,26.2992,26.3213,26.2551,0.0196,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0004,0.0053,0,0.0009,600,0.013,0.0143,0.0121,0.0005,600,3.757,3.7602,3.7507,0.0028,600,0,0,0,0,600,1,1,1,0,600,18.6,11.9,33,5,25.94,26.02,25.87
2022-09-01 00:20:00,0.9448,2.5,0.1,0.4623,600,176.8694,36.6747,600,70.0417,71,70,0.2,600,13.9627,14,13.9,0.0484,600,1003.3072,1003.4,1003.3,0.0258,600,0,0,0,0,600,0.0272,0.0307,0.0235,0.0017,600,0.0001,0.0001,0.0001,0,600,26.3206,26.3234,26.317,0.0011,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0136,0.0154,0.0118,0.0009,600,3.7601,3.7605,3.7596,0.0002,600,0,0,0,0,600,1,1,1,0,600,17.4,8.69,13,5,25.97,26.02,25.92
2022-09-01 00:30:00,0.7845,2,0.1,0.3686,600,181.3741,34.4777,600,70,70,70,0,600,13.9832,14.1,13.9,0.04,600,1003.2937,1003.3,1003.2,0.0244,600,0,0,0,0,600,0.026,0.029,0.0232,0.0014,600,0.0001,0.0001,0.0001,0,600,26.316,26.3213,26.3106,0.0023,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.013,0.0145,0.0116,0.0007,600,3.7594,3.7602,3.7587,0.0003,600,0,0,0,0,600,1,1,1,0,600,17,8.6933,13,5,25.97,26.02,25.92
2022-09-01 00:40:00,0.8442,2.6,0.1,0.4424,600,184.6246,35.2288,600,70,70,70,0,600,13.9825,14.1,13.9,0.0467,600,1003.2095,1003.3,1003.1,0.0315,600,0,0,0,0,600,0.0266,0.03,0.0242,0.0016,600,0.0001,0.0001,0.0001,0,600,26.309,26.3149,26.3021,0.0028,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0133,0.015,0.0121,0.0008,600,3.7584,3.7593,3.7574,0.0004,600,0,0,0,0,600,1,1,1,0,600,17,8.7367,13,5,25.97,26.02,25.92
2022-09-01 00:50:00,1.1142,2.9,0.1,0.5426,600,162.9795,25.6567,600,70.6333,71,70,0.4823,600,13.9293,14,13.9,0.0456,600,1003.216,1003.3,1003.2,0.0367,600,0,0,0,0,600,0.0255,0.0301,0.0233,0.0015,600,0.0001,0.0001,0.0001,0,600,26.2999,26.3063,26.2935,0.0028,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0127,0.015,0.0116,0.0008,600,3.7571,3.758,3.7562,0.0004,600,0,0,0,0,600,1,1,1,0,600,17,8.6667,13,5,25.95,26.02,25.92
2022-09-01 01:00:00,0.9243,2.3,0.1,0.4336,600,177.7453,30.719,600,71.1467,72,71,0.3541,600,13.8178,14,13.7,0.0595,600,1003.1808,1003.2,1003.1,0.0394,600,0,0,0,0,600,0.026,0.0286,0.0241,0.001,600,0.0018,0.0577,0.0001,0.0034,600,26.2587,26.2957,26.2145,0.0284,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0009,0.0288,0,0.0017,600,0.013,0.0143,0.012,0.0005,600,3.7512,3.7565,3.7449,0.0041,600,0,0,0,0,600,1,1,1,0,600,17.5,25.215,70,5,25.89,26.02,25.82
2022-09-01 01:10:00,1.1205,2.5,0.2,0.4823,600,164.601,23.246,600,71.7167,72,71,0.451,600,13.7172,13.8,13.6,0.0535,600,1003.1528,1003.2,1003.1,0.05,600,0,0,0,0,600,0.0275,0.0306,0.0243,0.0014,600,0.0001,0.0001,0.0001,0,600,26.2616,26.27,26.2316,0.0081,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0138,0.0153,0.0121,0.0007,600,3.7517,3.7529,3.7474,0.0012,600,0,0,0,0,600,1,1,1,0,600,17.9,8.6733,13,5,25.91,25.97,25.87
2022-09-01 01:20:00,1.716,4,0.2,0.7919,600,154.8482,21.9692,600,73.2433,74,72,0.6744,600,13.5443,13.7,13.4,0.078,600,1003.2065,1003.3,1003.1,0.0353,600,0.0051,0.4363,0,0.0469,600,0.0257,0.0289,0.0233,0.0015,600,0.0001,0.0001,0.0001,0,600,26.2668,26.27,26.2615,0.002,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0129,0.0144,0.0117,0.0008,600,3.7524,3.7529,3.7516,0.0003,600,0,0,0,0,600,1,1,1,0,600,17,8.69,13,5,25.92,25.97,25.87
2022-09-01 01:30:00,1.1333,3.1,0.2,0.5594,600,162.5665,25.0211,600,74.0217,75,74,0.1457,600,13.3565,13.5,13.3,0.0509,600,1003.2858,1003.4,1003.2,0.0368,600,0,0,0,0,600,0.0264,0.0304,0.0242,0.0015,600,0.0001,0.0001,0.0001,0,600,26.2589,26.2658,26.2529,0.0029,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0132,0.0152,0.0121,0.0007,600,3.7513,3.7523,3.7504,0.0004,600,0,0,0,0,600,1,1,1,0,600,17,8.7167,13,5,25.91,25.97,25.87
