datetime,Weather Station;wind_speed;Avg (m/s),Weather Station;wind_speed;Max (m/s),Weather Station;wind_speed;Min (m/s),Weather Station;wind_speed;StdDev (m/s),Weather Station;wind_speed;Count (),Weather Station;wind_direction;Avg (°),Weather Station;wind_direction;StdDev (°),Weather Station;wind_direction;Count (),Weather Station;humidity;Avg (%),Weather Station;humidity;Max (%),Weather Station;humidity;Min (%),Weather Station;humidity;StdDev (%),Weather Station;humidity;Count (),Weather Station;temperature;Avg (°C),Weather Station;temperature;Max (°C),Weather Station;temperature;Min (°C),Weather Station;temperature;StdDev (°C),Weather Station;temperature;Count (),Weather Station;air_pressure;Avg (hPa),Weather Station;air_pressure;Max (hPa),Weather Station;air_pressure;Min (hPa),Weather Station;air_pressure;StdDev (hPa),Weather Station;air_pressure;Count (),Solar Sensor;solar_irradiance;Avg (W/m²),Solar Sensor;solar_irradiance;Max (W/m²),Solar Sensor;solar_irradiance;Min (W/m²),Solar Sensor;solar_irradiance;StdDev (W/m²),Solar Sensor;solar_irradiance;Count (),Monitoring Current Clima US TFB;voltage;Avg (A),Monitoring Current Clima US TFB;voltage;Max (A),Monitoring Current Clima US TFB;voltage;Min (A),Monitoring Current Clima US TFB;voltage;StdDev (A),Monitoring Current Clima US TFB;voltage;Count (),Monitoring Current Modem;voltage;Avg (A),Monitoring Current Modem;voltage;Max (A),Monitoring Current Modem;voltage;Min (A),Monitoring Current Modem;voltage;StdDev (A),Monitoring Current Modem;voltage;Count (),Monitoring Voltage Solarmodule;voltage;Avg (V),Monitoring Voltage Solarmodule;voltage;Max (V),Monitoring Voltage Solarmodule;voltage;Min (V),Monitoring Voltage Solarmodule;voltage;StdDev (V),Monitoring Voltage Solarmodule;voltage;Count (),Door switch;status;Count (),Door switch;status;Sum (),Weather Station;brightness_direction;Avg (°),Weather Station;brightness_direction;Max (°),Weather Station;brightness_direction;Min (°),Weather Station;brightness_direction;StdDev (°),Weather Station;brightness_direction;Count (),Weather Station;brightness_max;Avg (lux),Weather Station;brightness_max;Max (lux),Weather Station;brightness_max;Min (lux),Weather Station;brightness_max;StdDev (lux),Weather Station;brightness_max;Count (),Weather Station;precipitation_intensity;Avg (mm/h),Weather Station;precipitation_intensity;Max (mm/h),Weather Station;precipitation_intensity;Min (mm/h),Weather Station;precipitation_intensity;StdDev (mm/h),Weather Station;precipitation_intensity;Count (),Weather Station;precipitation_intensity;Sum (mm/h),Weather Station;precipitation_status;Avg (),Weather Station;precipitation_status;Max (),Weather Station;precipitation_status;Min (),Weather Station;precipitation_status;StdDev (),Weather Station;precipitation_status;Count (),Weather Station;precipitation_sum;Avg (mm/d),Weather Station;precipitation_sum;Max (mm/d),Weather Station;precipitation_sum;Min (mm/d),Weather Station;precipitation_sum;StdDev (mm/d),Weather Station;precipitation_sum;Count (),Weather Station;synop;Max (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A1;channel;Count (),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A2;channel;Count (),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A3;channel;Count (),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A4;channel;Count (),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),D1;channel;Count (),R1C1_1;channel;Count (),R1C1_2;channel;Count (),R1C1_3;channel;Count (),R1C1_4;channel;Count (),R1C1_5;channel;Count (),R1C1_6;channel;Count (),R1C1_7;channel;Count (),R1C1_8;channel;Count (),R1C1_9;channel;Count (),R1C1_10;channel;Count (),R1C1_11;channel;Count (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-11-01 00:00:00,1.6938,2.9,0.3,0.426,600,224.3555,14.3035,600,95,95,95,0,600,11.8393,11.9,11.8,0.0489,600,997.6167,997.8,997.5,0.0744,600,0,0,0,0,600,0.0257,0.0292,0.0233,0.0015,600,0.0016,0.0096,0.0001,0.002,600,26.2826,26.317,26.2487,0.0256,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0008,0.0048,0,0.001,600,0.0129,0.0146,0.0116,0.0008,600,3.7547,3.7596,3.7498,0.0037,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,14.9,25.1983,68,5,25.91,26.02,25.82
2022-11-01 00:10:00,2.2253,3.8,0.5,0.5312,600,225.9232,13.522,600,95,95,95,0,600,11.9172,12.1,11.8,0.07,600,997.3905,997.5,997.3,0.0622,600,0,0,0,0,600,0.0263,0.0303,0.024,0.0014,600,0.0001,0.0008,0.0001,0.0001,600,26.2896,26.2999,26.2572,0.0084,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0004,0,0,600,0.0131,0.0152,0.012,0.0007,600,3.7557,3.7571,3.751,0.0012,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,15.7,8.8133,29,5,25.93,26.02,25.87
2022-11-01 00:20:00,2.3215,4.7,1,0.6404,600,225.3842,14.7491,600,94.0083,95,93,0.5373,600,12.1998,12.4,12,0.0952,600,997.2338,997.3,997.1,0.0533,600,0,0,0,0,600,0.0259,0.0301,0.0233,0.0018,600,0.0001,0.0001,0.0001,0,600,26.2973,26.2999,26.2935,0.0011,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0129,0.015,0.0117,0.0009,600,3.7568,3.7571,3.7562,0.0002,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,15,8.6967,13,5,25.94,26.02,25.92
2022-11-01 00:30:00,2.519,4.5,0.8,0.7237,600,229.3652,16.5859,600,92.9583,94,92,0.3832,600,12.397,12.6,12.2,0.0919,600,997.1553,997.2,997.1,0.0498,600,0,0,0,0,600,0.0262,0.0294,0.0241,0.0012,600,0.0001,0.0001,0.0001,0,600,26.2934,26.2978,26.2893,0.0018,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0131,0.0147,0.012,0.0006,600,3.7562,3.7568,3.7556,0.0003,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,15,8.69,13,5,25.93,26.02,25.92
2022-11-01 00:40:00,2.4315,4.5,0.8,0.7408,600,226.5776,14.8035,600,92.7717,93,92,0.4201,600,12.4233,12.5,12.3,0.0535,600,997.0198,997.1,996.9,0.0519,600,0,0,0,0,600,0.0271,0.03,0.0244,0.0013,600,0.0001,0.0001,0.0001,0,600,26.287,26.2914,26.2828,0.0022,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0135,0.015,0.0122,0.0006,600,3.7553,3.7559,3.7547,0.0003,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,14.5,8.7133,13,5,25.92,26.02,25.92
2022-11-01 00:50:00,2.0058,4,0.6,0.581,600,239.2125,16.3367,600,92.3333,93,92,0.4718,600,12.4413,12.5,12.3,0.0496,600,997.1143,997.2,997,0.0786,600,0,0,0,0,600,0.0259,0.0294,0.0234,0.0015,600,0.0001,0.0001,0.0001,0,600,26.2806,26.285,26.2743,0.0024,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0129,0.0147,0.0117,0.0008,600,3.7544,3.755,3.7535,0.0003,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,14,8.6933,13,5,25.92,26.02,25.87
2022-11-01 01:00:00,1.3265,2.4,0.6,0.3313,600,228.4326,13.671,600,92.5267,93,92,0.4997,600,12.3555,12.5,12.2,0.0636,600,997.1767,997.3,997.1,0.0431,600,0,0,0,0,600,0.0263,0.03,0.024,0.0016,600,0.0015,0.0096,0.0001,0.0019,600,26.2436,26.2786,26.2123,0.0254,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0007,0.0048,0,0.0009,600,0.0132,0.015,0.012,0.0008,600,3.7491,3.7541,3.7446,0.0036,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,15.1,25.1283,70,7,25.86,25.97,25.82
2022-11-01 01:10:00,1.0852,2.1,0.3,0.3056,600,220.2099,13.3911,600,93,93,93,0,600,12.191,12.3,12.1,0.0489,600,997.1105,997.2,997.1,0.0307,600,0,0,0,0,600,0.0258,0.0304,0.0233,0.0018,600,0.0001,0.0001,0.0001,0,600,26.2492,26.2572,26.223,0.0077,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0129,0.0152,0.0117,0.0009,600,3.7499,3.751,3.7461,0.0011,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,16,8.74,13,5,25.9,25.97,25.82
2022-11-01 01:20:00,1.6113,3,0.5,0.3943,600,220.5041,10.7587,600,93.0033,94,93,0.0577,600,12.11,12.2,12,0.0444,600,997.021,997.2,996.9,0.0898,600,0,0,0,0,600,0.0262,0.0293,0.024,0.0012,600,0.0001,0.0001,0.0001,0,600,26.2558,26.2572,26.2529,0.0015,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0131,0.0146,0.012,0.0006,600,3.7508,3.751,3.7504,0.0002,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,15,8.6667,13,5,25.91,25.97,25.87
2022-11-01 01:30:00,2.1278,4.1,0.7,0.5884,600,229.1755,15.4756,600,93.255,94,93,0.4362,600,12.089,12.2,12,0.0381,600,996.8422,996.9,996.7,0.053,600,0,0,0,0,600,0.0271,0.0305,0.0239,0.0014,600,0.0001,0.0001,0.0001,0,600,26.2499,26.2551,26.2444,0.0024,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0135,0.0153,0.0119,0.0007,600,3.75,3.7507,3.7492,0.0003,600,0,0,0,0,600,1,1,1,0,600,None,None,None,None,None,None,None,None,None,None,None,15,8.7367,13,5,25.9,25.97,25.87
